lookback,rmse,rmse_male,rmse_female,n_train,n_val
5,6.649040462628634,5.893681626397358,7.326936265180135,100,18
7,6.7791233388231475,6.64076519489248,6.914713595822899,96,18
10,7.068719401398333,6.652451326688356,7.461801344008882,90,18
12,6.688893514730411,6.082490539886067,7.244715435060344,86,18
15,6.648890069946732,6.164155430384899,7.100610266345341,80,18
