Country,Li-Lee RMSE (Level),LSTM+MBC RMSE (Level),Improvement (%)
Japan,4.564602122087827,3.5660677071706357,21.875606859256035
Sweden,2.753660238746004,2.277909455896008,17.27703280730993
West Germany,0.9014645177399784,0.8113714488180562,9.99407820817956
Netherlands,2.6023928796673097,2.4231918098625207,6.886011378408709
Norway,7.983332961155316,7.567527721044062,5.208416611638863
Switzerland,1.3114840249104065,1.3663096422229326,-4.1804258588869585
