Country,Sex,e0 (2020),e0 (2050) Median,95% CI (2050),CI Width,e0 (2050) +MBC,Net Gain
Switzerland,Male,80.26,82.05,"[79.99, 83.66]",3.67,80.45,1.79
Switzerland,Female,83.58,85.44,"[83.66, 86.77]",3.11,83.29,1.86
Sweden,Male,79.94,81.74,"[79.66, 83.37]",3.7,80.13,1.8
Sweden,Female,82.93,84.89,"[83.02, 86.34]",3.33,82.62,1.97
Norway,Male,80.57,82.3,"[80.31, 83.85]",3.54,80.75,1.72
Norway,Female,83.27,85.16,"[83.35, 86.55]",3.2,82.97,1.9
West Germany,Male,78.28,80.34,"[77.97, 82.22]",4.25,78.5,2.05
West Germany,Female,82.2,84.35,"[82.30, 85.93]",3.63,81.87,2.14
Netherlands,Male,79.14,81.04,"[78.85, 82.77]",3.92,79.34,1.9
Netherlands,Female,81.96,84.16,"[82.06, 85.78]",3.72,81.62,2.19
Japan,Male,80.44,82.21,"[80.17, 83.81]",3.64,80.62,1.77
Japan,Female,84.89,86.44,"[84.96, 87.54]",2.58,84.64,1.55
