λ_mono,RMSE,frac_pos,epochs,CI_M,CI_F,med_M,med_F,drift_M,drift_F,RMSE_cost,CI_M_vs_base,CI_F_vs_base,trade_off
0.0,6.172866975484629,0.5555555555555556,106,3.6376863574104448,3.108622992875084,82.08039130130106,85.9132896076413,-28.398167356980856,-49.511630823010854,+0.00%,+0.0%,+0.0%,0.0
0.001,6.172524718464667,0.5555555555555556,106,3.6225922087865854,3.0998369937706514,82.11560788269702,85.93243223664382,-29.028391677285853,-50.021496299401704,-0.01%,-0.4%,-0.3%,22.948399423401177
0.01,6.17080208821967,0.5555555555555556,106,3.4023416913016575,3.025894796029732,82.45345451958077,86.08968208995208,-34.627995060508965,-54.11420102885786,-0.03%,-6.5%,-2.7%,-221.00430144389105
0.1,6.224996224903795,0.4444444444444444,106,2.7010574006156105,2.429311745434177,84.17443763177258,86.85335080511547,-71.14765375169014,-78.30032285392967,+0.84%,-25.7%,-21.9%,17.629252568679252
1.0,6.3145317956676,0.2777777777777778,106,1.9339520977942186,1.7077593122079975,85.92501820062154,87.82476060788375,-118.65785916457831,-114.88507553574651,+2.29%,-46.8%,-45.1%,11.942217131253157
